mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
14.74,0.904,0.172,0.003,0.26,0.053,0.316,1.539,0
15.445,0.927,0.114,0.003,0.206,0.042,0.25,1.538,0
14.755,0.91,0.137,0.003,0.243,0.05,0.296,1.544,0
13.935,0.926,0.129,0.003,0.208,0.045,0.256,1.492,0
14.745,0.92,0.13,0.003,0.217,0.041,0.262,1.395,0
14.115,0.917,0.17,0.003,0.233,0.058,0.294,1.393,0
14.7,0.917,0.108,0.003,0.229,0.046,0.278,1.402,0
15.085,0.907,0.139,0.003,0.262,0.051,0.315,1.41,0
14.585,0.921,0.195,0.003,0.209,0.051,0.262,1.404,0
14.595,0.918,0.146,0.003,0.23,0.045,0.279,1.415,0
15.005,0.922,0.153,0.003,0.217,0.051,0.271,1.411,0
14.4,0.902,0.148,0.003,0.277,0.055,0.336,1.425,0
15.23,0.91,0.176,0.003,0.245,0.044,0.292,1.412,0
14.785,0.907,0.137,0.003,0.255,0.053,0.312,1.397,0
14.98,0.914,0.162,0.003,0.234,0.047,0.284,1.406,0
14.875,0.905,0.159,0.003,0.255,0.056,0.314,1.41,0
15.01,0.924,0.13,0.003,0.2,0.051,0.254,1.433,0
14.925,0.924,0.139,0.003,0.206,0.052,0.261,1.43,0
14.525,0.92,0.118,0.003,0.212,0.047,0.261,1.432,0
15.25,0.918,0.151,0.003,0.224,0.045,0.272,1.423,0
15.09,0.921,0.158,0.003,0.21,0.044,0.257,1.436,0
14.49,0.909,0.093,0.003,0.245,0.055,0.304,1.483,0
15.005,0.906,0.108,0.003,0.256,0.057,0.317,1.499,0
14.235,0.904,0.155,0.003,0.26,0.055,0.318,1.53,0
14.84,0.909,0.151,0.003,0.251,0.052,0.306,1.536,0
14.51,0.916,0.129,0.003,0.235,0.057,0.295,1.542,0
14.68,0.913,0.143,0.003,0.229,0.049,0.281,1.533,0
14.48,0.9,0.18,0.003,0.266,0.056,0.325,1.422,0
14.855,0.925,0.119,0.003,0.198,0.043,0.244,1.417,0
14.24,0.917,0.114,0.003,0.217,0.046,0.266,1.413,0
14.665,0.919,0.133,0.003,0.234,0.052,0.288,1.411,0
14.56,0.916,0.165,0.003,0.226,0.049,0.277,1.416,0
14.815,0.927,0.159,0.003,0.202,0.044,0.249,1.427,0
15.19,0.916,0.135,0.003,0.23,0.054,0.287,1.429,0
14.45,0.926,0.128,0.002,0.206,0.044,0.253,1.432,0
14.455,0.919,0.147,0.003,0.217,0.051,0.271,1.432,0
13.91,0.923,0.16,0.003,0.209,0.047,0.259,1.413,0
14.28,0.918,0.178,0.002,0.221,0.046,0.269,1.436,0
14.035,0.931,0.14,0.003,0.198,0.049,0.25,1.441,0
13.37,0.923,0.162,0.003,0.216,0.052,0.271,1.431,0
14.06,0.928,0.157,0.003,0.193,0.044,0.24,1.422,0
14.15,0.907,0.155,0.003,0.246,0.052,0.301,1.465,0
14.39,0.937,0.147,0.003,0.174,0.043,0.22,1.473,0
14.24,0.911,0.184,0.003,0.244,0.05,0.298,1.487,0
13.87,0.912,0.131,0.003,0.229,0.047,0.279,1.495,0
14.66,0.922,0.128,0.003,0.227,0.047,0.277,1.511,0
14.065,0.929,0.173,0.003,0.205,0.046,0.254,1.502,0
14.56,0.92,0.126,0.003,0.211,0.04,0.254,1.527,0
14.415,0.925,0.18,0.003,0.203,0.042,0.247,1.532,0
14.26,0.909,0.152,0.003,0.254,0.049,0.307,1.547,0
14.61,0.913,0.148,0.003,0.231,0.05,0.284,1.483,0
14.375,0.927,0.168,0.003,0.208,0.045,0.257,1.414,0
14.415,0.929,0.168,0.003,0.2,0.044,0.247,1.399,0
14.475,0.915,0.14,0.003,0.234,0.053,0.29,1.393,0
14.2,0.918,0.118,0.003,0.228,0.049,0.28,1.401,0
14.88,0.921,0.112,0.003,0.208,0.041,0.252,1.421,0
14.575,0.936,0.137,0.003,0.174,0.045,0.222,1.418,0
14.3,0.912,0.155,0.003,0.242,0.054,0.299,1.417,0
14.22,0.936,0.131,0.003,0.18,0.044,0.226,1.416,0
14.695,0.931,0.129,0.003,0.189,0.047,0.238,1.422,0
14.565,0.934,0.11,0.002,0.189,0.04,0.231,1.424,0
14.1,0.926,0.143,0.003,0.209,0.051,0.262,1.423,0
14.445,0.917,0.165,0.003,0.224,0.044,0.271,1.423,0
14.51,0.93,0.144,0.002,0.188,0.042,0.233,1.446,0
13.86,0.919,0.142,0.003,0.221,0.048,0.272,1.443,0
14.18,0.924,0.138,0.003,0.207,0.049,0.259,1.453,0
13.84,0.921,0.122,0.002,0.213,0.042,0.257,1.456,0
13.825,0.917,0.143,0.003,0.213,0.044,0.259,1.471,0
14.575,0.931,0.164,0.003,0.206,0.044,0.253,1.475,0
14.195,0.921,0.154,0.003,0.209,0.048,0.259,1.492,0
14.27,0.939,0.133,0.002,0.164,0.037,0.203,1.526,0
14.645,0.935,0.071,0.003,0.182,0.044,0.229,1.559,0
14.155,0.921,0.122,0.003,0.219,0.057,0.28,1.537,0
14.215,0.923,0.179,0.003,0.204,0.049,0.256,1.554,0
13.525,0.928,0.139,0.003,0.197,0.041,0.241,1.435,0
14.19,0.926,0.181,0.003,0.198,0.049,0.25,1.409,0
14.34,0.928,0.11,0.002,0.194,0.047,0.243,1.417,0
14.16,0.92,0.126,0.003,0.214,0.045,0.261,1.405,0
13.665,0.913,0.142,0.003,0.229,0.042,0.274,1.433,0
13.735,0.914,0.138,0.003,0.245,0.048,0.296,1.412,0
14.07,0.925,0.147,0.003,0.199,0.043,0.245,1.409,0
13.955,0.933,0.12,0.003,0.188,0.045,0.236,1.414,0
14.63,0.942,0.128,0.002,0.162,0.036,0.2,1.436,0
13.58,0.931,0.126,0.003,0.194,0.045,0.242,1.442,0
13.975,0.916,0.097,0.003,0.223,0.048,0.275,1.437,0
14.245,0.928,0.142,0.003,0.196,0.04,0.239,1.433,0
14.305,0.928,0.136,0.003,0.199,0.045,0.246,1.441,0
13.51,0.931,0.125,0.003,0.185,0.045,0.233,1.463,0
13.865,0.915,0.138,0.003,0.216,0.042,0.261,1.469,0
13.86,0.925,0.136,0.003,0.209,0.045,0.257,1.466,0
14.12,0.937,0.138,0.002,0.169,0.042,0.213,1.471,0
14.115,0.925,0.198,0.002,0.2,0.041,0.244,1.459,0
13.81,0.915,0.11,0.003,0.221,0.05,0.274,1.47,0
14.26,0.929,0.15,0.002,0.196,0.041,0.24,1.497,0
13.975,0.925,0.122,0.003,0.203,0.047,0.252,1.524,0
13.915,0.943,0.137,0.002,0.169,0.039,0.211,1.531,0
13.535,0.942,0.159,0.003,0.159,0.04,0.201,1.53,0
14.07,0.917,0.179,0.002,0.228,0.038,0.268,1.45,0
14.36,0.923,0.133,0.003,0.214,0.048,0.264,1.397,0
13.77,0.926,0.151,0.003,0.195,0.044,0.242,1.4,0
14.15,0.932,0.163,0.002,0.183,0.042,0.227,1.4,0
14.125,0.931,0.162,0.003,0.183,0.04,0.226,1.406,0
12.965,0.925,0.106,0.003,0.21,0.049,0.262,1.401,0
14.055,0.932,0.125,0.002,0.183,0.042,0.227,1.411,0
13.01,0.933,0.156,0.003,0.188,0.044,0.235,1.443,0
14.23,0.93,0.131,0.002,0.191,0.043,0.236,1.424,0
14,0.918,0.134,0.002,0.215,0.04,0.258,1.409,0
13.895,0.925,0.137,0.003,0.202,0.043,0.248,1.417,0
14.57,0.934,0.097,0.002,0.177,0.039,0.218,1.433,0
13.89,0.935,0.181,0.002,0.171,0.038,0.211,1.442,0
13.93,0.928,0.128,0.002,0.187,0.042,0.231,1.438,0
13.77,0.938,0.156,0.002,0.174,0.042,0.218,1.448,0
14.14,0.935,0.132,0.002,0.166,0.039,0.208,1.46,0
14.6,0.926,0.13,0.002,0.2,0.038,0.241,1.46,0
14.8,0.927,0.136,0.002,0.186,0.044,0.232,1.474,0
13.905,0.92,0.142,0.003,0.211,0.048,0.262,1.489,0
14.34,0.928,0.148,0.003,0.191,0.043,0.237,1.52,0
14.01,0.932,0.14,0.002,0.192,0.041,0.235,1.55,0
14.31,0.932,0.148,0.002,0.188,0.041,0.231,1.548,0
13.96,0.929,0.135,0.002,0.203,0.047,0.252,1.543,0
14.115,0.915,0.159,0.003,0.234,0.05,0.286,1.519,0
14.47,0.929,0.137,0.002,0.19,0.039,0.231,1.419,0
14.125,0.93,0.104,0.003,0.196,0.038,0.236,1.405,0
13.66,0.923,0.156,0.002,0.202,0.041,0.245,1.409,0
14.42,0.926,0.117,0.002,0.195,0.037,0.234,1.423,0
13.5,0.935,0.126,0.002,0.17,0.047,0.219,1.417,0
13.955,0.937,0.127,0.002,0.169,0.042,0.213,1.419,0
14.255,0.924,0.12,0.002,0.206,0.044,0.252,1.491,0
14.125,0.938,0.105,0.002,0.167,0.038,0.208,1.455,0
14.47,0.938,0.144,0.002,0.173,0.039,0.214,1.465,0
14.36,0.932,0.116,0.002,0.188,0.041,0.231,1.466,0
13.815,0.93,0.148,0.002,0.188,0.04,0.231,1.475,0
13.53,0.935,0.123,0.002,0.174,0.042,0.219,1.464,0
13.74,0.94,0.126,0.002,0.166,0.042,0.21,1.47,0
13.93,0.936,0.13,0.003,0.173,0.041,0.217,1.47,0
14.1,0.929,0.096,0.003,0.192,0.042,0.236,1.474,0
14.105,0.93,0.121,0.002,0.194,0.035,0.231,1.488,0
13.675,0.931,0.134,0.003,0.191,0.046,0.24,1.495,0
13.89,0.932,0.162,0.002,0.185,0.044,0.231,1.514,0
14.19,0.932,0.153,0.002,0.182,0.037,0.221,1.53,0
13.9,0.93,0.127,0.002,0.189,0.04,0.232,1.554,0
14.04,0.939,0.182,0.002,0.165,0.041,0.209,1.572,0
13.57,0.942,0.155,0.002,0.16,0.043,0.206,1.572,0
14.165,0.94,0.165,0.002,0.174,0.04,0.216,1.576,0
13.44,0.917,0.16,0.002,0.228,0.047,0.277,1.483,0
13.98,0.923,0.133,0.002,0.21,0.04,0.253,1.448,0
14.415,0.939,0.127,0.002,0.161,0.039,0.202,1.454,0
13.87,0.943,0.148,0.002,0.158,0.038,0.198,1.458,0
14.22,0.935,0.133,0.002,0.185,0.042,0.229,1.467,0
14.07,0.935,0.125,0.002,0.177,0.037,0.216,1.455,0
13.705,0.931,0.155,0.002,0.191,0.042,0.235,1.458,0
13.615,0.913,0.165,0.003,0.228,0.052,0.282,1.451,0
14.025,0.944,0.18,0.002,0.167,0.039,0.208,1.478,0
13.84,0.937,0.14,0.002,0.182,0.039,0.224,1.464,0
14.63,0.931,0.134,0.002,0.19,0.042,0.234,1.452,0
13.89,0.938,0.112,0.002,0.166,0.044,0.213,1.457,0
14.23,0.932,0.148,0.002,0.176,0.041,0.22,1.446,0
13.95,0.918,0.107,0.002,0.223,0.043,0.268,1.452,0
13.86,0.933,0.15,0.002,0.175,0.038,0.216,1.46,0
14.395,0.929,0.181,0.002,0.195,0.038,0.235,1.465,0
14.3,0.943,0.12,0.002,0.157,0.039,0.198,1.478,0
14.125,0.944,0.149,0.002,0.149,0.033,0.184,1.493,0
13.945,0.95,0.129,0.002,0.145,0.037,0.184,1.51,0
13.55,0.926,0.159,0.003,0.193,0.045,0.24,1.529,0
14.125,0.926,0.131,0.002,0.196,0.045,0.243,1.545,0
14.165,0.925,0.129,0.002,0.217,0.04,0.259,1.553,0
13.75,0.933,0.117,0.002,0.191,0.036,0.229,1.544,0
13.2,0.93,0.12,0.002,0.187,0.038,0.227,1.505,0
14.25,0.929,0.133,0.002,0.194,0.04,0.236,1.41,0
14.205,0.934,0.137,0.002,0.178,0.045,0.225,1.409,0
14.395,0.939,0.119,0.002,0.168,0.039,0.209,1.416,0
13.815,0.936,0.129,0.002,0.176,0.038,0.216,1.431,0
13.795,0.941,0.113,0.002,0.157,0.038,0.197,1.417,0
13.68,0.947,0.135,0.002,0.138,0.036,0.176,1.456,0
13.745,0.948,0.16,0.002,0.145,0.038,0.185,1.465,0
14.305,0.935,0.145,0.002,0.17,0.041,0.213,1.482,0
13.525,0.934,0.145,0.002,0.187,0.041,0.23,1.466,0
13.87,0.943,0.13,0.002,0.156,0.037,0.196,1.459,0
13.955,0.942,0.133,0.002,0.146,0.034,0.183,1.484,0
13.775,0.937,0.17,0.002,0.172,0.043,0.217,1.47,0
13.495,0.93,0.156,0.002,0.192,0.04,0.234,1.475,0
13.94,0.917,0.163,0.003,0.218,0.048,0.269,1.481,0
13.425,0.944,0.184,0.002,0.151,0.039,0.192,1.502,0
13.46,0.942,0.149,0.002,0.166,0.033,0.202,1.519,0
13.525,0.933,0.139,0.002,0.18,0.037,0.22,1.543,0
13.395,0.935,0.144,0.002,0.18,0.048,0.231,1.594,0
13.76,0.944,0.16,0.002,0.148,0.034,0.184,1.67,0
13.305,0.934,0.142,0.002,0.17,0.037,0.209,1.686,0
13.655,0.947,0.156,0.002,0.154,0.032,0.187,1.677,0
14.385,0.942,0.121,0.002,0.16,0.035,0.196,1.675,0
13.995,0.927,0.14,0.002,0.195,0.043,0.241,1.682,0
13.7,0.928,0.126,0.002,0.192,0.04,0.234,1.459,0
14.01,0.94,0.148,0.002,0.158,0.039,0.198,1.457,0
13.635,0.941,0.122,0.002,0.157,0.039,0.198,1.481,0
13.85,0.939,0.159,0.002,0.168,0.036,0.206,1.458,0
13.05,0.938,0.173,0.002,0.168,0.037,0.207,1.459,0
13.61,0.946,0.145,0.002,0.147,0.034,0.183,1.474,0
13.075,0.949,0.124,0.002,0.144,0.04,0.186,1.474,0
13.385,0.944,0.129,0.002,0.154,0.035,0.191,1.47,0
14.185,0.95,0.148,0.002,0.141,0.033,0.175,1.463,0
13.295,0.932,0.112,0.002,0.183,0.039,0.224,1.484,0
13.695,0.929,0.152,0.002,0.192,0.038,0.233,1.473,0
13.995,0.931,0.132,0.002,0.188,0.04,0.231,1.492,0
14.07,0.932,0.121,0.003,0.19,0.049,0.242,1.481,0
14.365,0.933,0.134,0.002,0.176,0.037,0.214,1.505,0
13.86,0.935,0.09,0.002,0.172,0.036,0.21,1.471,0
12.91,0.938,0.157,0.002,0.169,0.036,0.207,1.485,0
12.88,0.934,0.105,0.002,0.199,0.042,0.244,1.503,0
14.17,0.949,0.151,0.002,0.137,0.034,0.173,1.508,0
13.925,0.945,0.129,0.002,0.148,0.032,0.181,1.553,0
13.385,0.927,0.162,0.002,0.183,0.04,0.224,1.546,0
13.885,0.94,0.132,0.002,0.155,0.034,0.191,1.569,0
13.975,0.947,0.155,0.002,0.143,0.031,0.175,1.594,0
14.28,0.937,0.128,0.002,0.168,0.04,0.21,1.589,0
13.385,0.932,0.162,0.002,0.173,0.046,0.222,1.511,0
14.295,0.943,0.125,0.002,0.159,0.038,0.199,1.417,0
14.385,0.937,0.156,0.002,0.161,0.037,0.2,1.426,0
13.43,0.932,0.174,0.002,0.183,0.04,0.224,1.421,0
13.665,0.93,0.179,0.002,0.191,0.043,0.236,1.415,0
13.41,0.944,0.165,0.002,0.147,0.037,0.186,1.404,0
13.275,0.946,0.172,0.002,0.154,0.034,0.189,1.418,0
12.95,0.951,0.148,0.002,0.136,0.031,0.169,1.41,0
13.17,0.956,0.121,0.002,0.132,0.034,0.167,1.426,0
13.455,0.937,0.182,0.002,0.172,0.039,0.213,1.428,0
13.06,0.929,0.133,0.002,0.188,0.038,0.228,1.415,0
13.57,0.945,0.15,0.002,0.156,0.036,0.194,1.46,0
13.195,0.942,0.109,0.002,0.157,0.04,0.199,1.451,0
13.205,0.943,0.115,0.002,0.162,0.037,0.202,1.462,0
13.73,0.947,0.117,0.002,0.148,0.031,0.181,1.466,0
12.88,0.934,0.126,0.002,0.166,0.039,0.208,1.474,0
13.005,0.943,0.119,0.002,0.162,0.032,0.196,1.466,0
13.485,0.944,0.159,0.002,0.149,0.037,0.189,1.478,0
12.865,0.935,0.146,0.002,0.172,0.037,0.211,1.5,0
13.37,0.947,0.176,0.002,0.139,0.033,0.174,1.53,0
13.375,0.934,0.144,0.002,0.181,0.039,0.222,1.543,0
13.605,0.944,0.194,0.002,0.148,0.033,0.182,1.552,0
13.28,0.931,0.123,0.002,0.184,0.039,0.225,1.561,0
13.1,0.947,0.139,0.002,0.146,0.035,0.183,1.55,0
13.45,0.945,0.131,0.002,0.148,0.036,0.186,1.428,0
13.62,0.946,0.143,0.002,0.155,0.032,0.189,1.426,0
13.88,0.933,0.141,0.002,0.181,0.034,0.217,1.44,0
13.94,0.949,0.161,0.001,0.137,0.029,0.167,1.438,0
14.13,0.934,0.142,0.002,0.183,0.031,0.217,1.439,0
13.34,0.948,0.12,0.002,0.141,0.031,0.174,1.448,0
13.605,0.944,0.142,0.002,0.15,0.034,0.186,1.424,0
13.735,0.941,0.131,0.002,0.159,0.034,0.195,1.432,0
13.41,0.932,0.164,0.002,0.186,0.036,0.223,1.444,0
13.415,0.947,0.156,0.002,0.143,0.032,0.177,1.439,0
13.495,0.943,0.106,0.002,0.155,0.037,0.194,1.443,0
13.34,0.945,0.118,0.002,0.152,0.036,0.189,1.448,0
13.76,0.938,0.176,0.002,0.165,0.04,0.207,1.476,0
13.21,0.939,0.145,0.002,0.174,0.039,0.215,1.472,0
13.47,0.946,0.119,0.002,0.142,0.032,0.175,1.453,0
13.52,0.944,0.118,0.002,0.151,0.039,0.192,1.468,0
13.51,0.941,0.19,0.002,0.158,0.033,0.193,1.476,0
13.315,0.937,0.139,0.002,0.172,0.04,0.213,1.48,0
12.79,0.95,0.129,0.002,0.137,0.036,0.175,1.507,0
13.58,0.946,0.154,0.002,0.144,0.032,0.178,1.513,0
13.87,0.953,0.171,0.002,0.137,0.032,0.171,1.543,0
13.035,0.942,0.161,0.002,0.151,0.035,0.188,1.537,0
13.045,0.949,0.105,0.002,0.134,0.033,0.169,1.544,0
14.13,0.946,0.132,0.002,0.143,0.036,0.181,1.453,0
13.535,0.935,0.173,0.002,0.174,0.039,0.215,1.4,0
13.29,0.942,0.156,0.002,0.153,0.034,0.188,1.402,0
13.295,0.945,0.12,0.002,0.155,0.035,0.192,1.405,0
13.105,0.954,0.14,0.002,0.126,0.032,0.16,1.41,0
13.635,0.951,0.136,0.002,0.139,0.034,0.175,1.453,0
13.58,0.948,0.101,0.002,0.143,0.037,0.181,1.435,0
14.06,0.939,0.132,0.002,0.158,0.033,0.193,1.427,0
13.21,0.953,0.122,0.001,0.136,0.033,0.17,1.442,0
13.715,0.938,0.182,0.002,0.166,0.037,0.205,1.443,0
13.285,0.948,0.17,0.002,0.134,0.033,0.169,1.441,0
12.85,0.942,0.115,0.002,0.15,0.033,0.185,1.443,0
13.175,0.939,0.138,0.002,0.168,0.036,0.206,1.447,0
13.13,0.934,0.126,0.002,0.175,0.038,0.215,1.443,0
13.445,0.952,0.158,0.002,0.134,0.034,0.169,1.473,0
12.925,0.946,0.135,0.002,0.15,0.037,0.188,1.457,0
13.745,0.946,0.132,0.001,0.145,0.03,0.177,1.482,0
13.495,0.934,0.13,0.002,0.174,0.035,0.211,1.465,0
12.895,0.937,0.118,0.002,0.16,0.038,0.199,1.489,0
13.44,0.952,0.108,0.002,0.13,0.033,0.164,1.523,0
13.825,0.955,0.121,0.002,0.122,0.031,0.155,1.551,0
13.685,0.943,0.13,0.002,0.16,0.034,0.195,1.563,0
13.51,0.948,0.145,0.002,0.142,0.033,0.177,1.552,0
13.35,0.929,0.134,0.002,0.185,0.039,0.225,1.523,0
13.455,0.948,0.166,0.002,0.151,0.035,0.189,1.449,0
13.335,0.95,0.161,0.001,0.135,0.027,0.164,1.487,0
13.515,0.952,0.144,0.002,0.125,0.032,0.159,1.486,0
13.765,0.956,0.15,0.001,0.131,0.03,0.162,1.478,0
13.13,0.945,0.154,0.002,0.158,0.035,0.195,1.48,0
13.84,0.935,0.143,0.002,0.175,0.04,0.216,1.45,0
13.56,0.952,0.144,0.002,0.132,0.033,0.166,1.438,0
12.955,0.944,0.142,0.002,0.155,0.035,0.191,1.44,0
13.16,0.945,0.144,0.002,0.155,0.037,0.193,1.433,0
13.13,0.949,0.151,0.002,0.137,0.034,0.172,1.445,0
12.675,0.953,0.148,0.002,0.127,0.032,0.161,1.432,0
12.87,0.948,0.121,0.002,0.145,0.033,0.179,1.437,0
12.955,0.947,0.152,0.002,0.133,0.035,0.169,1.451,0
13.145,0.948,0.149,0.001,0.145,0.028,0.174,1.448,0
12.715,0.929,0.143,0.002,0.204,0.04,0.246,1.436,0
12.94,0.946,0.131,0.002,0.145,0.031,0.179,1.457,0
12.975,0.956,0.141,0.001,0.117,0.025,0.144,1.463,0
12.955,0.943,0.165,0.002,0.163,0.032,0.197,1.488,0
13.305,0.943,0.154,0.002,0.158,0.034,0.194,1.49,0
13.245,0.953,0.163,0.002,0.136,0.031,0.169,1.524,0
13.285,0.944,0.138,0.001,0.148,0.029,0.178,1.536,0
13.435,0.959,0.126,0.001,0.114,0.027,0.142,1.549,0
12.99,0.937,0.169,0.002,0.171,0.039,0.212,1.566,0
12.99,0.95,0.158,0.001,0.137,0.038,0.176,1.443,0
13.255,0.952,0.092,0.001,0.13,0.031,0.163,1.414,0
13.265,0.957,0.152,0.002,0.122,0.027,0.15,1.413,0
12.515,0.953,0.131,0.002,0.132,0.027,0.16,1.41,0
12.825,0.93,0.152,0.002,0.179,0.042,0.223,1.416,0
13.775,0.936,0.139,0.002,0.177,0.035,0.213,1.424,0
12.995,0.952,0.171,0.002,0.137,0.034,0.173,1.434,0
13.25,0.943,0.153,0.002,0.146,0.033,0.181,1.431,0
13.475,0.929,0.146,0.001,0.19,0.036,0.228,1.435,0
13.415,0.946,0.146,0.002,0.144,0.031,0.177,1.429,0
12.875,0.961,0.135,0.002,0.114,0.029,0.145,1.443,0
13.045,0.952,0.117,0.001,0.131,0.028,0.16,1.453,0
13.155,0.951,0.09,0.002,0.134,0.033,0.168,1.445,0
12.395,0.938,0.162,0.002,0.173,0.031,0.206,1.446,0
13.085,0.946,0.129,0.002,0.141,0.031,0.174,1.473,0
13.16,0.951,0.144,0.001,0.131,0.031,0.163,1.485,0
12.305,0.954,0.133,0.001,0.12,0.028,0.149,1.482,0
12.785,0.949,0.139,0.001,0.143,0.03,0.175,1.483,0
12.79,0.954,0.144,0.002,0.12,0.03,0.152,1.513,0
12.8,0.944,0.129,0.002,0.154,0.032,0.188,1.529,0
12.59,0.949,0.127,0.002,0.147,0.034,0.183,1.546,0
12.47,0.954,0.137,0.001,0.126,0.029,0.157,1.548,0
12.695,0.943,0.137,0.002,0.157,0.033,0.191,1.538,0
13.325,0.946,0.151,0.002,0.148,0.033,0.182,1.493,0
12.77,0.951,0.111,0.001,0.131,0.03,0.163,1.427,0
12.87,0.944,0.125,0.001,0.139,0.028,0.168,1.41,0
12.7,0.941,0.142,0.002,0.16,0.038,0.2,1.406,0
12.13,0.947,0.181,0.002,0.141,0.031,0.173,1.408,0
13.49,0.943,0.181,0.001,0.148,0.027,0.177,1.418,0
12.765,0.948,0.18,0.001,0.139,0.027,0.168,1.421,0
13.26,0.955,0.101,0.001,0.124,0.028,0.153,1.435,0
12.56,0.951,0.141,0.001,0.126,0.032,0.159,1.429,0
13.02,0.945,0.132,0.002,0.143,0.03,0.175,1.424,0
12.535,0.944,0.143,0.001,0.15,0.03,0.181,1.427,0
13.235,0.954,0.173,0.001,0.128,0.029,0.158,1.424,0
12.69,0.952,0.124,0.002,0.133,0.034,0.168,1.428,0
12.555,0.96,0.145,0.001,0.111,0.028,0.14,1.442,0
12.68,0.955,0.114,0.001,0.121,0.029,0.151,1.432,0
12.775,0.948,0.156,0.002,0.148,0.031,0.18,1.441,0
12.39,0.958,0.14,0.001,0.118,0.024,0.144,1.449,0
12.795,0.952,0.102,0.002,0.132,0.036,0.17,1.479,0
12.1,0.945,0.139,0.002,0.145,0.035,0.182,1.507,0
13.185,0.938,0.153,0.002,0.162,0.03,0.194,1.509,0
12.565,0.954,0.125,0.001,0.126,0.029,0.156,1.544,0
12.555,0.945,0.145,0.001,0.149,0.031,0.181,1.543,0
12.78,0.948,0.127,0.002,0.159,0.029,0.19,1.54,0
12.69,0.952,0.144,0.002,0.134,0.029,0.165,1.544,0
12.975,0.952,0.156,0.001,0.135,0.026,0.162,1.426,0
12.81,0.963,0.141,0.001,0.101,0.03,0.132,1.428,0
12.125,0.948,0.124,0.001,0.149,0.032,0.182,1.432,0
12.16,0.945,0.131,0.002,0.141,0.034,0.176,1.43,0
12.355,0.945,0.148,0.001,0.152,0.032,0.185,1.445,0
12.28,0.95,0.152,0.001,0.126,0.029,0.156,1.442,0
12.7,0.944,0.107,0.001,0.147,0.031,0.18,1.442,0
12.245,0.957,0.138,0.002,0.118,0.03,0.15,1.42,0
12.915,0.946,0.122,0.002,0.145,0.028,0.175,1.436,0
11.98,0.949,0.179,0.001,0.136,0.03,0.168,1.442,0
12.525,0.954,0.149,0.001,0.126,0.03,0.158,1.457,0
12.43,0.958,0.177,0.002,0.123,0.028,0.152,1.444,0
12.285,0.954,0.12,0.002,0.124,0.029,0.155,1.439,0
12.725,0.951,0.104,0.002,0.138,0.036,0.175,1.465,0
12.67,0.956,0.167,0.001,0.122,0.023,0.146,1.454,0
12.885,0.957,0.144,0.001,0.117,0.028,0.146,1.472,0
12.925,0.959,0.184,0.001,0.115,0.028,0.144,1.479,0
12.415,0.958,0.149,0.001,0.112,0.027,0.141,1.497,0
12.685,0.936,0.144,0.002,0.178,0.033,0.212,1.514,0
